,0,1,2
358,NV,1920,47.6
359,NV,1910,53.4
360,NV,1900,66.2
361,NH,2010,71.0
362,NH,2000,69.7
363,NH,1990,68.2
364,NH,1980,67.6
365,NH,1970,68.2
366,NH,1960,65.1
367,NH,1950,58.1
368,NH,1940,51.7
369,NH,1930,55.0
370,NH,1920,49.8
371,NH,1910,51.2
372,NH,1900,53.9
373,NJ,2010,65.4
374,NJ,2000,65.6
375,NJ,1990,64.9
376,NJ,1980,62.0
377,NJ,1970,60.9
378,NJ,1960,61.3
379,NJ,1950,53.1
380,NJ,1940,39.4
381,NJ,1930,48.4
382,NJ,1920,38.3
383,NJ,1910,35.0
384,NJ,1900,34.3
385,NM,2010,68.5
386,NM,2000,70.0
387,NM,1990,67.4
388,NM,1980,68.1
389,NM,1970,66.4
390,NM,1960,65.3
391,NM,1950,58.8
392,NM,1940,57.3
393,NM,1930,57.4
394,NM,1920,59.4
395,NM,1910,70.6
396,NM,1900,68.5
397,NY,2010,53.3
398,NY,2000,53.0
399,NY,1990,52.2
400,NY,1980,48.6
401,NY,1970,47.3
402,NY,1960,44.8
403,NY,1950,37.9
404,NY,1940,30.3
405,NY,1930,37.1
406,NY,1920,30.7
407,NY,1910,31.0
408,NY,1900,33.2
409,NC,2010,66.7
410,NC,2000,69.4
411,NC,1990,68.0
412,NC,1980,68.4
413,NC,1970,65.4
414,NC,1960,60.1
415,NC,1950,53.3
416,NC,1940,42.4
417,NC,1930,44.5
418,NC,1920,47.4
419,NC,1910,47.3
420,NC,1900,46.6
421,ND,2010,65.4
422,ND,2000,66.6
423,ND,1990,65.6
424,ND,1980,68.7
425,ND,1970,68.4
426,ND,1960,68.4
427,ND,1950,66.2
428,ND,1940,49.8
429,ND,1930,58.6
430,ND,1920,65.3
431,ND,1910,75.7
432,ND,1900,80.0
433,OH,2010,67.6
434,OH,2000,69.1
435,OH,1990,67.5
436,OH,1980,68.4
437,OH,1970,67.7
438,OH,1960,67.4
439,OH,1950,61.1
440,OH,1940,50.0
441,OH,1930,54.4
442,OH,1920,51.6
443,OH,1910,51.3
444,OH,1900,52.5
445,OK,2010,67.2
446,OK,2000,68.4
447,OK,1990,68.1
448,OK,1980,70.7
449,OK,1970,69.2
450,OK,1960,67.0
451,OK,1950,60.0
452,OK,1940,42.8
453,OK,1930,41.3
454,OK,1920,45.5
455,OK,1910,45.4
456,OK,1900,54.2
457,OR,2010,62.2
